;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30
harga;0.0;0.13994047402823656;0.0;0.1562363796696159;0.0;0.30368857502148516;0.0;0.2596467551631426;0.17519195266753082;0.0;0.0;0.19200178078149507;0.0;0.0;0.0;0.1471163540416151;0.0;0.0;0.0;0.0;0.2762212634618018;0.10839319905618475;0.0;0.14576842446923297;0.0;0.18902688776480842;0.0;0.0;0.0;0.0
hemat;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2797710721421435;0.0;0.0;0.0;0.0;0.0;0.0
het;0.0;0.0;0.0;0.0;0.0;0.25984437967579843;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25175367728867726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
hijau;0.0;0.0;0.0;0.299862055907734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
hpp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31905106093471564;0.0
hubung;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25608315461854797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ihsg;0.0;0.0;0.0;0.22641309232957904;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27824324278027546;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36842428446872977;0.0;0.0;0.0;0.0;0.0;0.2739321167244745;0.0;0.0;0.0;0.0
ikn;0.0;0.0;0.2704565234379259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26788894037367894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
imbau;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2797710721421435;0.0;0.0;0.0;0.0;0.0;0.0
implementasi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31905106093471564;0.0
indeks;0.0;0.0;0.0;0.48860011972811723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3002248684852697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2955731571258375;0.0;0.0;0.0;0.0
indonesia;0.2165271149567325;0.202797552873417;0.0;0.0;0.1981161723238417;0.0;0.0;0.0;0.0;0.0;0.2119729056329472;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
industri;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2080373827410495;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
industrial;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25407374260129884
insiden;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25407374260129884
intip;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26507358952581955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
invasi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24551474379233165;0.0;0.0;0.0
investasi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2621833446678025;0.0;0.0;0.0;0.0;0.0
investor;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29375534309245266;0.0;0.0
jalan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24551474379233165;0.0;0.0;0.0
jasa;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19126241938515856;0.0;0.22810215604883846;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jatuh;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21890369881386923;0.0;0.0;0.22653499813417072
jenis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24916799140390436;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
jones;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25407374260129884
jual;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21259024349684627;0.0;0.0;0.0;0.0;0.261915558129033;0.0;0.0
kabar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24916799140390436;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
kait;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22216097535255494;0.0;0.0;0.0;0.0;0.45665322484535054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
kali;0.0;0.0;0.0;0.0;0.26238554551042176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
kalimantan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2621833446678025;0.0;0.0;0.0;0.0;0.0
karbon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31905106093471564;0.0
kebut;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3004548800089801;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
kemarin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23634258500643074;0.0;0.0;0.0;0.0;0.32347331070863283;0.0;0.0;0.0;0.0
kemas;0.0;0.21881885803291912;0.0;0.0;0.0;0.2374323355887637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23003947080283088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
kembang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19126241938515856;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23376561027927195;0.0;0.0;0.0;0.0;0.0
kerja;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22968775161317012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ketua;0.0;0.23947391279261487;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27131717447094406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
khawatir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2797710721421435;0.0;0.0;0.0;0.0;0.0;0.0
koleksi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23843379279423452;0.0;0.0;0.0;0.0;0.0;0.0;0.0
konsumen;0.0;0.26858557741510825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
kontribusi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22968775161317012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
koordinator;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2621833446678025;0.0;0.0;0.0;0.0;0.0
kota;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26788894037367894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23376561027927195;0.0;0.0;0.0;0.0;0.0
kuat;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25388294223529617;0.0;0.0;0.27824324278027546;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36842428446872977;0.2001458001005268;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
laju;0.0;0.0;0.0;0.0;0.23394589481806968;0.0;0.0;0.0;0.2997982012452446;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
laksana;0.0;0.0;0.30333459150586134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
laku;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20479217510005449;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2844695038281438;0.0
lebar;0.0;0.26858557741510825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
lebaran;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25608315461854797;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
lemah;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26507358952581955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
lembaga;0.0;0.26858557741510825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
level;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3685060345409545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
limpah;0.0;0.0;0.0;0.0;0.0;0.25984437967579843;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25175367728867726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
liter;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2080373827410495;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
luhut;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2621833446678025;0.0;0.0;0.0;0.0;0.0
mafia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3042998676478863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mahal;0.0;0.0;0.0;0.0;0.0;0.25984437967579843;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24944702532748628;0.0;0.0;0.0;0.0;0.0;0.0
mampu;0.2867690431796365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mana;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20479217510005449;0.0;0.0;0.0;0.26788894037367894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
manfaat;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21451325010444983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
maritim;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2621833446678025;0.0;0.0;0.0;0.0;0.0
market;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.28073743715891863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
maruf;0.2867690431796365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
masyarakat;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37097692684470646;0.0;0.24944702532748628;0.0;0.0;0.0;0.0;0.0;0.0
menkeu;0.0;0.0;0.0;0.0;0.0;0.0;0.2739673713671366;0.22216097535255494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
menko;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22968775161317012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mentah;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22216097535255494;0.2997982012452446;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
menteri;0.0;0.0;0.2142510948379686;0.0;0.0;0.0;0.2170323293339287;0.1759921764670631;0.0;0.0;0.0;0.0;0.18087649012995777;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18518517246745242;0.0;0.0;0.0;0.0;0.0
mikro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2080373827410495;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
miliar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29375534309245266;0.0;0.0
milik;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2558314121883666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
minyak;0.0;0.15303083349122784;0.0;0.0;0.0;0.1660481575470578;0.0;0.2839347203289531;0.19157981794643927;0.0;0.15995454563899408;0.0;0.0;0.0;0.0;0.3217559242315598;0.0;0.1733796089335618;0.0;0.0;0.0;0.35559765775128577;0.0;0.1594039440564478;0.0;0.0;0.0;0.0;0.0;0.0
modal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19126241938515856;0.0;0.22810215604883846;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
modern;0.0;0.0;0.0;0.0;0.0;0.2374323355887637;0.0;0.0;0.0;0.0;0.22871907716496553;0.0;0.0;0.0;0.0;0.23003947080283088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mudik;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5121663092370959;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
mulyani;0.0;0.0;0.0;0.0;0.0;0.0;0.2739673713671366;0.22216097535255494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
naik;0.0;0.0;0.0;0.0;0.0;0.0;0.2320082042862556;0.1881361590499684;0.25388294223529617;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24090189436801893;0.0
nasional;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45937550322634024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
negara;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24478303848896285;0.0;0.0;0.20842793571706658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.213602906855983;0.0;0.0;0.0;0.0;0.0
nft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23843379279423452;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ngan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22968775161317012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
nilai;0.0;0.26858557741510825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
no;0.0;0.0;0.30333459150586134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
nonfungible;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23843379279423452;0.0;0.0;0.0;0.0;0.0;0.0;0.0
nusantara;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3004548800089801;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
oil;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33624319263199526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ojk;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2558314121883666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
opensea;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23843379279423452;0.0;0.0;0.0;0.0;0.0;0.0;0.0
orang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23843379279423452;0.0;0.0;0.0;0.0;0.0;0.0;0.0
otoritas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19126241938515856;0.0;0.22810215604883846;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pagi;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4879420277795317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
pajak;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31905106093471564;0.0
